date,close,diff,open,high,low,volume
2019-01-02,252000,8000,261000,261500,250500,74745
2019-01-03,245500,6500,253000,253500,244000,114272
2019-01-04,248000,2500,245500,248500,244000,93698
2019-01-07,252000,4000,252000,254500,249000,70358
2019-01-08,254000,2000,253500,254500,251000,52414
2019-01-09,255000,1000,252500,258500,251500,89560
2019-01-10,257000,2000,253500,259000,253000,86167
2019-01-11,255000,2000,256500,258000,253000,92618
2019-01-14,252000,3000,254000,254000,247500,77195
2019-01-15,259500,7500,253000,260000,252000,82153
2019-01-16,264500,5000,259500,264500,259000,79266
2019-01-17,267000,2500,264500,267000,260500,84511
2019-01-18,266500,500,268500,270000,263500,95526
2019-01-21,262500,4000,268500,268500,262500,101050
2019-01-22,261500,1000,262500,266000,261500,113958
2019-01-23,260500,1000,260000,263500,259500,460972
2019-01-24,261500,1000,258500,263000,258500,102485
2019-01-25,267000,5500,260500,267000,260500,120260
2019-01-28,263000,4000,266000,266500,262000,113877
2019-01-29,262000,1000,262000,263000,259500,100489
2019-01-30,266000,4000,264500,266000,260000,111132
2019-01-31,263500,2500,268500,268500,262500,106974
2019-02-01,258000,5500,261500,264500,257500,119435
2019-02-07,266000,8000,259500,268000,258500,95929
2019-02-08,263500,2500,265500,266000,262500,73570
2019-02-11,263000,500,263500,267500,262000,74205
2019-02-12,274500,11500,265000,276000,263500,130509
2019-02-13,270500,4000,272500,275500,268000,120952
2019-02-14,277500,7000,267500,277500,266000,132311
2019-02-15,280000,2500,285500,288000,276500,261881
2019-02-18,279500,500,282000,282000,277000,145899
2019-02-19,274500,5000,279000,279500,274500,141134
2019-02-20,276000,1500,274500,279500,274000,97182
2019-02-21,271500,4500,274500,275000,269500,109297
2019-02-22,271000,500,270000,271500,267000,73315
2019-02-25,272000,1000,271500,273000,269000,46686
2019-02-26,271500,500,270000,273000,269000,59765
2019-02-27,272000,500,273000,273500,269500,86551
2019-02-28,272500,500,273500,276500,270000,118389
2019-03-04,267500,5000,278000,278000,267500,133104
2019-03-05,270000,2500,267500,270500,267500,80711
2019-03-06,274500,4500,272000,275000,270000,77933
2019-03-07,271000,3500,274000,276000,269000,70726
2019-03-08,265500,5500,269500,269500,265500,50260
2019-03-11,266500,1000,265000,266500,261500,48689
2019-03-12,268000,1500,265500,268500,265500,37556
2019-03-13,262500,5500,268500,269000,261000,101875
2019-03-14,268500,6000,266500,270500,263500,125674
2019-03-15,273000,4500,266000,276000,264500,150467
2019-03-18,275000,2000,275000,276500,272000,60678
2019-03-19,276000,1000,273500,277500,272000,75347
2019-03-20,280500,4500,274000,280500,271000,76692
2019-03-21,278000,2500,284000,287000,275500,135176
2019-03-22,276000,2000,275000,277000,273500,84415
2019-03-25,271000,5000,275000,276500,268500,53941
2019-03-26,267500,3500,269000,269000,265000,95820
2019-03-27,267500,0,270000,271000,266000,82890
2019-03-28,265000,2500,265500,268000,263000,74991
2019-03-29,270500,5500,266500,271000,266500,64718
2019-04-01,270500,0,270500,271500,268500,49613
2019-04-02,272000,1500,269000,272000,268000,67451
2019-04-03,269500,2500,268500,269500,266000,147213
2019-04-04,272500,3000,270000,273000,269000,86744
2019-04-05,275500,3000,273500,276000,271000,76875
2019-04-08,276000,500,276500,277000,272000,72501
2019-04-09,276000,0,274000,278000,272500,80283
2019-04-10,272500,3500,274000,276500,271500,118696
2019-04-11,266500,6000,271500,272500,265500,389805
2019-04-12,266500,0,267500,268000,265500,139491
2019-04-15,269000,2500,267500,271000,267000,130960
2019-04-16,267500,1500,267500,268000,265500,121652
2019-04-17,269000,1500,267500,270500,266500,60009
2019-04-18,267500,1500,270500,270500,266500,108100
2019-04-19,266500,1000,266500,268000,265500,37949
2019-04-22,266000,500,266500,268000,264500,53418
2019-04-23,267000,1000,267500,268000,265000,47049
2019-04-24,263500,3500,267000,267500,262000,108019
2019-04-25,260500,3000,264000,264000,259500,83322
2019-04-26,256000,4500,261500,261500,255500,104585
2019-04-29,259000,3000,257500,259000,253000,97373
2019-04-30,256500,2500,259500,260500,254000,97164
2019-05-02,258000,1500,254000,259500,252500,69234
2019-05-03,256500,1500,254500,259500,254500,64215
2019-05-07,256500,0,252500,256500,252500,76130
2019-05-08,254500,2000,252500,256500,251500,71743
2019-05-09,246500,8000,253000,255500,246500,146331
2019-05-10,248500,2000,246500,251500,246500,99666
2019-05-13,248500,0,245500,249500,245500,73205
2019-05-14,250500,2000,248500,251500,245500,110668
2019-05-15,251000,500,249000,251500,247000,85394
2019-05-16,244500,6500,249000,251000,244000,98093
2019-05-17,242000,2500,244500,247500,242000,82174
2019-05-20,241500,500,243000,245500,240500,62233
2019-05-21,241500,0,239000,242500,239000,74845
2019-05-22,238500,3000,240500,241000,235500,129967
2019-05-23,237500,1000,236500,239500,236000,88479
2019-05-24,238000,500,237500,239000,235500,60011
2019-05-27,235000,3000,237000,238500,233500,72870
2019-05-28,239000,4000,237500,239000,234000,294024
2019-05-29,229000,10000,238000,238000,227500,148233
2019-05-30,234500,5500,227500,234500,226500,103443
2019-05-31,231500,3000,233000,233000,229000,115216
2019-06-03,239000,7500,229500,239000,227000,108704
2019-06-04,239000,0,237000,239500,235500,70951
2019-06-05,237000,2000,241000,242000,235000,75976
2019-06-07,238000,1000,237500,239500,234500,54456
2019-06-10,239000,1000,239000,239500,237000,59149
2019-06-11,239000,0,238000,239000,233500,93837
2019-06-12,236500,2500,238000,239000,235500,74830
2019-06-13,239500,3000,235000,239500,233000,112494
2019-06-14,234000,5500,238000,238000,232500,107595
2019-06-17,233000,1000,234000,235000,231500,78976
2019-06-18,234500,1500,233500,235000,233000,48951
2019-06-19,239000,4500,235500,239000,235500,59892
2019-06-20,240000,1000,239000,241500,237000,72001
2019-06-21,238500,1500,238500,240500,238000,59095
2019-06-24,236000,2500,239500,239500,235000,58127
2019-06-25,236500,500,235500,237500,234000,75047
2019-06-26,235000,1500,234500,236500,234000,68392
2019-06-27,234000,1000,234000,235500,232000,87126
2019-06-28,232000,2000,233000,236000,231500,58988
2019-07-01,232000,0,233000,234500,231500,52439
2019-07-02,233000,1000,231000,233000,230500,56316
2019-07-03,228000,5000,233000,233000,227500,66780
2019-07-04,227500,500,229000,229500,223500,99793
2019-07-05,231500,4000,227500,232000,226500,42178
2019-07-08,222500,9000,229000,230000,222500,73177
2019-07-09,223000,500,223000,224500,221000,63824
2019-07-10,220000,3000,222000,222500,219500,91360
2019-07-11,223000,3000,220500,225500,220500,159593
2019-07-12,223500,500,223500,225000,221500,85096
2019-07-15,224000,500,222000,224500,222000,70901
2019-07-16,229000,5000,224500,230000,224000,96215
2019-07-17,227500,1500,230000,230000,223000,63115
2019-07-18,226000,1500,224500,227500,223500,61565
2019-07-19,228000,2000,226000,228500,224000,63490
2019-07-22,225500,2500,229000,229000,224500,61625
2019-07-23,228000,2500,226500,228500,224000,75635
2019-07-24,230000,2000,228000,232500,227500,100382
2019-07-25,225000,5000,229000,230000,224500,95729
2019-07-26,224500,500,224000,225000,221000,78112
2019-07-29,221500,3000,224500,224500,219500,71883
2019-07-30,220500,1000,223000,223000,219000,45630
2019-07-31,221000,500,220500,222000,218000,87963
2019-08-01,215000,6000,218000,219000,214500,121338
2019-08-02,208500,6500,211500,211500,207500,159763
2019-08-05,207500,1000,205000,209000,204000,166770
2019-08-06,206000,1500,200500,207500,200500,159693
2019-08-07,200000,6000,203000,205000,199000,149069
2019-08-08,201000,1000,202000,203500,200500,386126
2019-08-09,201500,500,203000,203500,200500,105079
2019-08-12,197500,4000,201500,203000,197000,177127
2019-08-13,193500,4000,196000,198000,193000,180229
2019-08-14,197500,4000,195000,199500,194000,128063
2019-08-16,193000,4500,194500,194500,189000,221878
2019-08-19,195500,2500,193000,196500,192000,86889
2019-08-20,196000,500,194000,197500,192000,123459
2019-08-21,198500,2500,194500,199500,194500,101177
2019-08-22,198500,0,200000,202000,198000,139490
2019-08-23,197000,1500,196000,198000,195000,88655
2019-08-26,194500,2500,194000,196500,190500,120075
2019-08-27,192500,2000,195000,196000,191500,152660
2019-08-28,193500,1000,194500,194500,192000,72873
2019-08-29,195000,1500,193000,195000,191000,122293
2019-08-30,200000,5000,195000,201000,193000,153761
2019-09-02,201000,1000,196500,201500,196000,56832
2019-09-03,203500,2500,199000,206500,199000,148830
2019-09-04,202500,1000,202500,203500,200000,105358
2019-09-05,204500,2000,201000,206000,200500,93086
2019-09-06,203500,1000,203500,206500,202500,55135
2019-09-09,203000,500,202500,206000,202500,77632
2019-09-10,204000,1000,203000,205000,201500,109809
2019-09-11,204000,0,203500,206000,203000,170250
2019-09-16,217000,13000,207000,218500,206000,283391
2019-09-17,210500,6500,217000,217000,210500,159082
2019-09-18,211500,1000,211000,213500,210500,89177
2019-09-19,210000,1500,211500,213000,207500,86999
2019-09-20,214000,4000,208500,214000,207500,120010
2019-09-23,212000,2000,212000,213500,211000,96631
2019-09-24,214000,2000,209000,214000,209000,116009
2019-09-25,208000,6000,211500,213500,207000,114062
2019-09-26,206500,1500,209000,210000,204000,99812
2019-09-27,202500,4000,207000,207500,200500,98193
2019-09-30,204000,1500,200500,205000,200500,85899
2019-10-01,224000,20000,205500,225000,205000,372320
2019-10-02,227000,3000,225000,234000,225000,394423
2019-10-04,226000,1000,225500,229500,225500,233258
2019-10-07,229500,3500,226000,231500,225000,207467
2019-10-08,229500,0,230000,232500,228500,182544
2019-10-10,225500,4000,227500,229500,225500,270202
2019-10-11,230500,5000,227500,232500,224000,147133
2019-10-14,230500,0,232000,234000,230500,142358
2019-10-15,235000,4500,230500,236500,230000,204515
2019-10-16,240000,5000,237000,240500,235500,197807
2019-10-17,243000,3000,242000,247000,240500,210896
2019-10-18,241000,2000,241000,244000,240000,133870
2019-10-21,240500,500,241000,242000,238500,117252
2019-10-22,242000,1500,241000,243000,240000,84123
2019-10-23,238500,3500,240000,241500,237500,144019
2019-10-24,249500,11000,238500,250000,238000,261073
