date,close,diff,open,high,low,volume
2019-01-02,6260,150,6510,6520,6230,386770
2019-01-03,6170,90,6260,6330,6150,254562
2019-01-04,6840,670,6110,6850,6110,1526914
2019-01-07,7410,570,7190,7500,6970,2745330
2019-01-08,7200,210,7400,7500,7150,1304960
2019-01-09,7180,20,7330,7440,7070,1148289
2019-01-10,7110,70,7250,7290,7050,587843
2019-01-11,6960,150,7110,7340,6930,962123
2019-01-14,7020,60,7130,7170,6960,691723
2019-01-15,7130,110,7080,7280,7020,748516
2019-01-16,6930,200,7180,7190,6880,733148
2019-01-17,6740,190,6990,7140,6710,664731
2019-01-18,7040,300,6800,7040,6750,648865
2019-01-21,7030,10,7100,7160,6960,499354
2019-01-22,7210,180,7030,7340,7010,1136192
2019-01-23,7200,10,7170,7350,7090,951994
2019-01-24,7320,120,7200,7470,7110,1058231
2019-01-25,7180,140,7390,7420,7110,637994
2019-01-28,7390,210,7160,7390,7140,1038396
2019-01-29,7240,150,7420,7420,7150,603367
2019-01-30,7090,150,7240,7280,7080,569245
2019-01-31,7250,160,7100,7280,7090,777058
2019-02-01,7160,90,7240,7310,7130,390196
2019-02-07,7520,360,7210,7530,7140,1423624
2019-02-08,7690,170,7510,7770,7380,1543770
2019-02-11,8010,320,7780,8520,7760,4784465
2019-02-12,8050,40,8010,8160,7810,1281439
2019-02-13,8250,200,8100,8330,8090,1236254
2019-02-14,8180,70,8200,8340,8000,1098073
2019-02-15,8060,120,8120,8160,7950,779271
2019-02-18,8340,280,8110,8350,8040,1119750
2019-02-19,8220,120,8340,8350,8160,667848
2019-02-20,8070,150,8250,8250,8050,541539
2019-02-21,8040,30,8070,8190,8020,455981
2019-02-22,8100,60,8040,8120,7860,616709
2019-02-25,8030,70,8030,8140,8020,383469
2019-02-26,8010,20,8150,8160,8000,425920
2019-02-27,8200,190,8010,8210,8000,674044
2019-02-28,7920,280,8180,8530,7890,2088907
2019-03-04,8630,710,8200,8630,8190,1909844
2019-03-05,8470,160,8730,8740,8390,1174689
2019-03-06,8320,150,8520,8520,8170,820021
2019-03-07,8190,130,8270,8530,8140,884161
2019-03-08,8230,40,8140,8320,8050,581769
2019-03-11,8230,0,8260,8430,7910,1127776
2019-03-12,8180,50,8230,8320,8060,906586
2019-03-13,8460,280,8190,8530,8120,1768697
2019-03-14,8400,60,8460,8530,8320,683330
2019-03-15,8090,310,8370,8420,8090,937728
2019-03-18,7950,140,8100,8180,7920,962873
2019-03-19,7830,120,7990,8120,7800,862468
2019-03-20,7950,120,7860,8030,7540,1447828
2019-03-21,7820,130,7930,8050,7820,777577
2019-03-22,7760,60,8030,8070,7760,765165
2019-03-25,7650,110,7600,7750,7580,649134
2019-03-26,7650,0,7720,7760,7610,388246
2019-03-27,7430,220,7690,7710,7390,597979
2019-03-28,7190,240,7400,7550,7190,532384
2019-03-29,7330,140,7220,7610,7220,829715
2019-04-01,7740,410,7350,8360,7240,4925023
2019-04-02,7520,220,7740,7740,7520,858515
2019-04-03,7670,150,7490,7840,7440,1008645
2019-04-04,7650,20,7690,7770,7570,486177
2019-04-05,7750,100,7700,7890,7600,797174
2019-04-08,7750,0,7810,7950,7750,771823
2019-04-09,7700,50,7830,7860,7590,401663
2019-04-10,8070,370,7700,8090,7600,1599160
2019-04-11,7980,90,8080,8100,7920,620577
2019-04-12,7930,50,8050,8170,7920,886034
2019-04-15,7850,80,7930,7940,7780,467772
2019-04-16,7870,20,7900,7980,7830,421766
2019-04-17,7880,10,8000,8100,7870,873088
2019-04-18,7630,250,7850,7850,7600,536650
2019-04-19,7810,180,7740,7900,7670,467065
2019-04-22,8010,200,7830,8070,7760,812548
2019-04-23,7850,160,8040,8050,7840,348006
2019-04-24,7730,120,7920,7930,7720,305925
2019-04-25,7830,100,7910,8250,7800,1584429
2019-04-26,7580,250,7790,7810,7560,671952
2019-04-29,7620,40,7800,8030,7620,1573578
2019-04-30,8050,430,7620,8340,7610,4787042
2019-05-02,8020,30,8110,8180,7990,1131905
2019-05-03,8050,30,8040,8130,7870,764946
2019-05-07,7940,110,7980,8050,7880,556132
2019-05-08,7830,110,7870,7880,7750,507694
2019-05-09,7580,250,7850,7870,7500,857761
2019-05-10,7420,160,7510,7630,7320,572373
2019-05-13,7100,320,7390,7450,7100,584999
2019-05-14,7090,10,6950,7270,6930,440965
2019-05-15,7240,150,7120,7260,7120,264590
2019-05-16,7140,100,7290,7360,7110,227327
2019-05-17,7000,140,7180,7250,7000,338200
2019-05-20,6790,210,7000,7100,6780,400915
2019-05-21,6850,60,6730,6990,6730,283799
2019-05-22,6950,100,6890,7020,6860,191682
2019-05-23,6840,110,6950,6990,6830,196971
2019-05-24,6740,100,6760,6850,6720,277995
2019-05-27,6720,20,6750,6840,6680,234076
2019-05-28,7010,290,6730,7020,6730,324009
2019-05-29,6840,170,7000,7010,6810,223140
2019-05-30,6850,10,6810,6910,6770,180821
2019-05-31,6910,60,6820,6990,6820,165567
2019-06-03,6900,10,6970,6970,6820,129874
2019-06-04,6970,70,7040,7040,6910,217496
